"","Date","LNVGY.Adjusted","YAMHF.Adjusted","COST.Adjusted","MUSA.Adjusted","JBLU.Adjusted","GD.Adjusted","RF.Adjusted","CSIOY.Adjusted","VLO.Adjusted","CAG.Adjusted"
"48",2020-02-01,"-5.00%","-20.00%","-9.0%","-5.00%","-26.00%","-9.00%","-15.00%","-14.0%","-27.00%","-23.00%"
"49",2020-03-01,"-17.00%","-29.00%","2.0%","-16.00%","-76.00%","-21.00%","-51.00%","-19.0%","-44.00%","9.00%"
"50",2020-04-01,"1.00%","3.00%","6.0%","21.00%","8.00%","-1.00%","17.00%","11.0%","28.00%","12.00%"
"51",2020-05-01,"1.00%","8.00%","2.0%","8.00%","3.00%","12.00%","5.00%","11.0%","5.00%","4.00%"
"52",2020-06-01,"1.00%","10.00%","-2.0%","-3.00%","8.00%","2.00%","-2.00%","-2.0%","-12.00%","1.00%"
"53",2020-07-01,"8.00%","-5.00%","7.0%","15.00%","-5.00%","-2.00%","-1.00%","-13.0%","-5.00%","6.00%"
"54",2020-08-01,"15.00%","8.00%","7.0%","2.00%","10.00%","2.00%","6.00%","3.0%","-7.00%","2.00%"
"55",2020-09-01,"-1.00%","-10.00%","2.0%","-5.00%","-2.00%","-8.00%","0.00%","4.0%","-19.00%","-7.00%"
"56",2020-10-01,"-5.00%","-2.00%","1.0%","-5.00%","5.00%","-5.00%","14.00%","-10.0%","-12.00%","-2.00%"
"57",2020-11-01,"13.00%","26.00%","9.0%","5.00%","21.00%","13.00%","13.00%","17.0%","28.00%","5.00%"
"58",2020-12-01,"24.00%","7.00%","-4.0%","2.00%","-4.00%","0.00%","5.00%","0.0%","7.00%","-1.00%"
"59",2021-01-01,"19.00%","8.00%","-4.0%","-5.00%","-1.00%","-1.00%","6.00%","0.0%","0.00%","-5.00%"
"60",2021-02-01,"8.00%","-1.00%","-6.0%","0.00%","22.00%","11.00%","18.00%","8.0%","27.00%","-1.00%"
"61",2021-03-01,"11.00%","11.00%","6.0%","14.00%","9.00%","10.00%","0.00%","-3.0%","-6.00%","10.00%"
